date,confirmed,hospitalized,icu,vent,deceased
2020-02-27,2,NA,NA,NA,0
2020-02-28,0,NA,NA,NA,0
2020-02-29,4,NA,NA,NA,0
2020-03-01,1,NA,NA,NA,0
2020-03-02,3,NA,NA,NA,0
2020-03-03,3,NA,NA,NA,0
2020-03-04,2,NA,NA,NA,0
2020-03-05,8,NA,NA,NA,0
2020-03-06,6,NA,NA,NA,0
2020-03-07,5,NA,NA,NA,0
2020-03-08,6,NA,NA,NA,0
2020-03-09,9,NA,NA,NA,0
2020-03-10,13,NA,NA,NA,0
2020-03-11,39,NA,NA,NA,0
2020-03-12,39,NA,NA,NA,0
2020-03-13,23,NA,NA,NA,0
2020-03-14,55,NA,NA,NA,0
2020-03-15,32,NA,NA,NA,1
2020-03-16,76,NA,NA,NA,0
2020-03-17,103,NA,NA,NA,0
2020-03-18,139,NA,NA,NA,1
2020-03-19,111,60,12,12,1
2020-03-20,32,78,15,15,1
2020-03-21,214,83,23,23,1
2020-03-22,59,110,22,22,1
2020-03-23,89,127,27,27,0
2020-03-24,148,138,26,26,2
2020-03-25,147,146,28,28,2
2020-03-26,132,156,35,35,3
2020-03-27,127,171,38,38,2
2020-03-28,74,187,42,42,4
2020-03-29,32,194,46,46,3
2020-03-30,126,197,46,46,2
2020-03-31,88,196,50,50,3
2020-04-01,189,203,54,54,9
2020-04-02,164,200,53,53,3
2020-04-03,128,207,57,57,2
2020-04-04,33,194,59,59,7
2020-04-05,30,194,59,59,4
2020-04-06,114,198,58,58,2
2020-04-07,83,181,60,60,2
2020-04-08,94,170,56,56,8
2020-04-09,97,165,55,55,2
2020-04-10,40,152,50,50,5
2020-04-11,58,149,50,50,6
2020-04-12,17,153,49,49,2
2020-04-13,17,154,50,50,4
2020-04-14,47,149,52,52,4
2020-04-15,47,136,50,50,4
2020-04-16,35,135,51,51,4
2020-04-17,23,123,45,45,5
2020-04-18,39,114,44,44,5
2020-04-19,27,116,43,43,0
2020-04-20,16,121,43,43,2
2020-04-21,25,110,41,41,2
2020-04-22,40,110,44,44,1
2020-04-23,17,96,44,44,3
2020-04-24,29,83,42,42,1
2020-04-25,31,77,38,38,1
2020-04-26,3,75,26,26,0
2020-04-27,18,73,24,24,4
2020-04-28,15,84,19,19,0
2020-04-29,29,82,19,19,2
2020-04-30,11,61,15,15,2
2020-05-01,13,43,14,14,0
2020-05-02,3,41,13,13,0
2020-05-03,4,42,12,12,0
2020-05-04,2,43,11,11,0
2020-05-05,16,54,9,9,1
2020-05-06,15,53,7,7,1
2020-05-07,10,50,7,7,0
2020-05-08,10,47,5,5,0
2020-05-09,5,37,5,5,1
2020-05-10,3,40,5,5,0
2020-05-11,5,44,5,5,0
2020-05-12,2,44,7,7,0
2020-05-13,6,38,8,8,0
2020-05-14,5,36,7,7,0
2020-05-15,2,33,7,7,1
2020-05-16,5,32,8,8,0
2020-05-17,2,33,8,8,0
2020-05-18,4,33,8,8,0
2020-05-19,4,30,6,6,1
2020-05-20,3,29,4,4,0
2020-05-21,1,25,3,3,1
2020-05-22,2,31,4,4,1
2020-05-23,2,26,1,1,0
2020-05-24,1,28,1,1,0
2020-05-25,2,23,1,1,0
2020-05-26,6,19,1,1,0
2020-05-27,3,18,1,1,0
2020-05-28,5,20,1,1,0
2020-05-29,6,15,0,0,0
2020-05-30,6,12,0,0,0
2020-05-31,0,11,1,1,0
2020-06-01,0,11,1,1,0
2020-06-02,2,11,0,0,0
2020-06-03,3,9,1,1,0
2020-06-04,8,9,1,1,0
2020-06-05,6,8,1,1,0
2020-06-06,4,7,1,1,0
2020-06-07,0,7,1,1,0
2020-06-08,0,7,0,0,0
2020-06-09,0,6,0,0,0
2020-06-10,3,7,0,0,0
2020-06-11,2,8,0,0,0
2020-06-12,2,9,0,0,0
2020-06-13,3,8,0,0,0
2020-06-14,5,9,0,0,0
2020-06-15,7,9,0,0,0
2020-06-16,7,8,0,0,0
2020-06-17,10,8,0,0,0
2020-06-18,5,10,0,0,0
2020-06-19,1,9,0,0,0
2020-06-20,7,10,0,0,0
2020-06-21,5,10,0,0,0
2020-06-22,3,11,0,0,0
2020-06-23,4,10,0,0,0
2020-06-24,16,8,0,0,0
2020-06-25,7,7,1,1,0
2020-06-26,19,7,1,1,0
2020-06-27,12,8,0,0,0
2020-06-28,11,8,0,0,0
2020-06-29,9,10,1,1,1
2020-06-30,28,12,0,0,0
2020-07-01,48,13,0,0,0
2020-07-02,56,10,0,0,0
2020-07-03,23,8,0,0,0
2020-07-04,13,9,0,0,0
2020-07-05,8,11,1,1,0
2020-07-06,19,12,2,2,0
2020-07-07,26,13,2,2,0
2020-07-08,23,11,3,3,2
2020-07-09,19,12,3,3,0
2020-07-10,20,12,3,3,0
2020-07-11,11,12,3,3,0
2020-07-12,18,20,3,3,0
2020-07-13,17,26,5,5,0
2020-07-14,27,24,6,6,0
2020-07-15,32,24,6,6,0
2020-07-16,15,23,6,6,0
